Pedro BOFILL ABEILHE,1226
Ioan-Rareş BOGDAN,197636
Reimer BÖGE,1037
Franc BOGOVIČ,125004
Bruno BOISSIÈRE,1834
Lajos BOKROS,96878
Alain BOMBARD,1212
Manuel BOMPARD,197521
Aldo BONACCINI,1770
Simona BONAFÈ,124814
Franco BONANINI,118710
Jens-Peter BONDE,1275
Andrea BONETTI,1136
Anna BONFRISCO,197788
Michał BONI,124896
Emma BONINO,1566
Gian Piero BONIPERTI,2034
Margherita BONIVER,1816
Josef BONNICI,23934
Guy BONO,28140
Vito BONSIGNORE,29074
Rinaldo BONTEMPI,1020
Louis BONTES,96893
Johanna L.A. BOOGERD-QUAAK,1968
Elise C.A.M. BOOT,1737
Graham BOOTH,23286
Paolo BORCHIA,101039
André BORD,924
Armonia BORDES,4406
Mario BORGHEZIO,21817
Franco BORGO,1012
Preslav BORISSOV,116816
Jean-Louis BORLOO,986
Josep BORRELL FONTELLES,28267
David BORRELLI,124796
Rita BORSELLINO,96916
Piotr BORYS,96799
Biljana BORZAN,112748
Bob van den BOS,4561
Herbert BÖSCH,2048
Enrico BOSELLI,4458
Bodil BOSERUP,1738
Erminio Enzo BOSO,72753
Umberto BOSSI,2036
Peter BOSSU,4750
Victor BOŞTINARU,39711
Marc BOTENGA,187917
Costas BOTOPOULOS,39318
Vlad-Marius BOTOŞ,197668
Gerhard BOTZ,1843
Yasmine BOUDJENAH,4355
Philippe BOULLAND,105624
Alima BOUMEDIENE-THIERY,4388
Geert BOURGEOIS,197467
Jean-Louis BOURLANGES,1026
Leonidas BOURNIAS,731
Louise BOURS,124964
Catherine BOURSIER,58711
Bernadette BOURZAI,28143
Marie-Christine BOUTONNET,124753
Ioannis BOUTOS,1814
Theodorus J.J. BOUWMAN,4506
Giuseppe BOVA,41003
José BOVÉ,96744
David Robert BOWE,1321
John BOWIS,4527
Sharon BOWLES,33570
Gilles BOYER,197577
Roland BOYES,925
Lynn BOYLAN,124984
Emine BOZKURT,28171
Philip BRADBOURN,4540
Iles BRAGHETTO,34174
Jürgen BRAND,1889
Willy BRANDT,919
Paul BRANNEN,124954
Franziska Katharina BRANTNER,96662
Arkadiusz Tomasz BRATKOWSKI,111126
Ursula BRAUN-MOSER,941
Frédérique BREDIN,1982
Mihael BREJC,23713
Cees BREMMER,25703
Georges de BRÉMOND d'ARS,1741
Frieda BREPOELS,28463
Mercedes BRESSO,28346
Hiltrud BREYER,1059
Patrick BREYER,197431
Jan BŘEZINA,28354
Milan BRGLEZ,197446
Renata BRIANO,124787
Yvon BRIANT,1172
Saskia BRICMONT,197470
André BRIE,4298
Giuseppe BRIENZA,21905
Jürgen BRINCKMEIER,1754
Mathilde M. van den BRINK,948
Laurens Jan BRINKHORST,1967
Steeve BRIOIS,124757
Rogério BRITO,1840
José António BRITO APOLONIA,1755
Július BROCKA,26835
Elmar BROK,1263
Andrew Henry William BRONS,96749
Beate Ann BROOKES,1739
Jane BROPHY,197716
Joachim Stanisław BRUDZIŃSKI,197501
Annika BRUNA,182995
Sylvie BRUNET,197576
Renato BRUNETTA,4422
Paulin-Christian BRUNÉ,1756
Carlos María BRU PURÓN,1353
Zuzana BRZOBOHATÁ,96716
Dominique BUCCHINI,920
Janey O'Neil BUCHAN,1366
Markus BUCHHEIT,128483
Klaus BUCHNER,124818
Hubert Jean BUCHOU,1767
Daniel BUDA,125012
Danutė BUDREIKAITĖ,28268
José Miguel BUENO VICENTE,1768
Stéphane BUFFETAUT,2317
John BUFTON,96798
Paul van BUITENEN,28264
Kathalijne Maria BUITENWEG,4504
Wolfgang BULFON,37761
David BULL,197715
Udo BULLMANN,4267
Jonathan BULLOCK,188733
Nicodim BULZESC,39720
Judith BUNTING,197739
Gianluca BUONANNO,124869
Staffan BURENSTAM LINDER,2260
Ieke van den BURG,4483
Colm BURKE,38724
Delara BURKHARDT,197440
Martine BURON,1181
Giovanni M.S. BURTONE,1953
Daniela BURUIANĂ-APRODU,33966
